player_name,jersey,position,class_year,height_in,weight_lbs,hometown,last_school,previous_school,ppg,rpg,apg,three_pt_pct,ft_pct,assist_rate,defensive_rating
Tomislav Ivisic,13,C,Sr.,7-1,210,"Vodice, Croatia",SC Derby,,13.0,0.0,0.8,0.357,0.75,15.8,96.4
Morez Johnson Jr.,,F,Jr.,6-9,106,"Chicago, IL",,,7.0,0.0,0.1,0.33,0.618,2.7,98.7
Tre White,22,G,Jr.,6-7,108,"Dallas, TX",Little Elm HS,,10.5,0.0,0.3,0.329,0.824,6.0,99.1
Kasparas Jakucionis,32,G,So.,6-6,113,"Vilnius, Lithuania",FC Barcelona,,15.0,0.0,1.3,0.318,0.845,26.0,99.7
Will Riley,7,F,So.,6-8,103,"Kitchener, Canada",Phelps School,,12.6,0.0,0.8,0.326,0.724,16.0,99.8
Ben Humrichous,,F,Jr.,6-8,210,"Ft. Wayne, IN",Homestead HS,,7.6,0.0,0.3,0.343,0.706,5.6,100.0
Kylan Boswell,4,G,Jr.,6-2,148,"Champaign, IL",Centennial HS,,12.3,0.0,0.9,0.245,0.79,18.8,100.2
Jake Davis,,F,Sr.,6-6,210,"McCordsville, IN",Cathedral,,3.0,0.0,0.3,0.344,0.5,5.5,102.2
Dra Gibbs-Lawhorn,,G,Jr.,6-3,210,"Columbus, OH",,,5.9,0.0,0.3,0.255,0.806,5.8,103.0
